line_name,block,location_file,location_sheet,location_range,formula_or_rule,source_type,method,current_status,owner_questions,owner_answer,final_rule
Аренда торговой точки Гагарина,аренда / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A12:O12,"Историческая строка точки Гагарина; точка не работает с 2024, поэтому аренда не рассчитывается как активная операционная статья 2026",исторический контур / договор,"не запрашивать активный расчет за 2026; если в источниках после 2024 есть платежи по Гагарина, выносить на проверку как исторический хвост или ошибку классификации",не используется; точка не работает с 2024,,Владелец 2026-05-19: Гагарина не работает с 2024.,"Строка остается в справочнике как историческая. Для P&L 2026 не считать аренду Гагарина как действующую торговую точку; пустые ячейки не превращать в 0. Если обнаружены платежи по Гагарина после 2024, статус периода = требует проверки / исторический хвост."
Аренда торговой точки Черникова,аренда / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы,Статьи!A13:O13; месячный лист строка 35,Фиксированная сумма 100 000 руб. в месяц,фиксированная сумма / договор,"ежемесячно ставить 100 000 руб. по торговой точке Черникова; если владелец сообщает об изменении ставки или периода аренды, месяц требует проверки",актуально; фиксированная сумма; ручной перенос,,Владелец 2026-05-19: аренда торговой точки Черникова - 100 000 рублей.,"Строка Аренда торговой точки Черникова считается как фиксированная сумма 100 000 руб. в месяц. Если ставка или период аренды изменились, соответствующий месяц получает статус требует проверки; отсутствие отдельного документа за месяц не считается нулем."
Зарплата администраторов,ФОТ / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / Из Отчетов,Статьи!A14:O14; месячный лист строка 36; Из Отчетов!C10:N10; Зарплатная ведомость Свод!A10:O10,Месячный лист берет значение через LOOKUP по номеру месяца B1 из Из Отчетов строки 10 Зарплата администраторов,Google Sheets Расчет зарплат NEW / Свод role-only export,"Для MVP P&L использовать итог ФОТ по ролям из Расчет зарплат NEW, лист Свод, диапазон C7:C13 и соседние месячные колонки. Не смешивать role-cut и type-cut в одной строке; type-cut оставлять drill-down внутри payroll.",requires_recalc в текущем pnl_2026: legacy/control payroll_monthly содержит смешанный role/type контур,,Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ из таблицы Зарплатная ведомость через IMPORTRANGE; на листе Из Отчетов есть информация об источниках. Владелец 2026-05-25: для MVP нужен итог ФОТ по ролям из Расчет зарплат NEW Свод!C7:C13; cross-tab роль x тип начисления не обязателен.,"P&L MVP берет additive role-only ФОТ из Расчет зарплат NEW Свод!C7:C13 и соседних месячных колонок. Не суммировать одновременно role-cut и type-cut, чтобы не получить двойной счет."
"Премии поваров, шеф-повара, администраторов",ФОТ / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / Из Отчетов,Статьи!A15:O15; месячный лист строка 37; Из Отчетов!C12:N12; Зарплатная ведомость Свод!A12:O12,Месячный лист берет значение через LOOKUP по номеру месяца B1 из Из Отчетов строки 12 Премии всем и %% шеф-повару,Google Sheets Расчет зарплат NEW / Свод role-only export,"Для MVP P&L использовать итог ФОТ по ролям из Расчет зарплат NEW, лист Свод, диапазон C7:C13 и соседние месячные колонки. Не смешивать role-cut и type-cut в одной строке; type-cut оставлять drill-down внутри payroll.",requires_recalc в текущем pnl_2026: legacy/control payroll_monthly содержит смешанный role/type контур,,Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ из таблицы Зарплатная ведомость через IMPORTRANGE; на листе Из Отчетов есть информация об источниках. Владелец 2026-05-25: для MVP нужен итог ФОТ по ролям из Расчет зарплат NEW Свод!C7:C13; cross-tab роль x тип начисления не обязателен.,"P&L MVP берет additive role-only ФОТ из Расчет зарплат NEW Свод!C7:C13 и соседних месячных колонок. Не суммировать одновременно role-cut и type-cut, чтобы не получить двойной счет."
Списание продукции и сырья,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / iiko,"Статьи!A16:O16; месячный лист: строка Списание продукции и сырья, направление Общее",Месячный лист должен содержать сумму items[].cost по всем проведенным актам списания за месяц; API /v2/documents/writeoff,iiko Товары и склады -> Акты списания; GET /resto/api/v2/documents/writeoff; ручной перенос,выбрать период с первого по последнее число месяца; читать /v2/documents/writeoff с dateFrom/dateTo в формате YYYY-MM-DD и status=PROCESSED; сложить items[].cost по всем актам периода,актуально; ручной перенос; проверено на апреле 2026,,"Владелец: источник - iiko Товары и склады -> Акты списания. Значение для P&L - итог за месяц: период с первого по последнее число месяца, сумма всех актов списания. Техническая проверка: raw /v2/documents/writeoff за 2026-04-01..2026-04-30 содержит 101 PROCESSED акт на 91 552.95 руб.; за 2026-04-01 - 3 акта на 550.74 руб.","Строка считается как сумма items[].cost по всем проведенным актам списания status=PROCESSED из iiko Товары и склады -> Акты списания / API /v2/documents/writeoff за месяц. В ОПиУ относится к Общепроизводственным и направлению Общее. Если выгрузка актов за период отсутствует, статус периода = требует проверки / источник не найден, не автоматический 0."
Результаты ревизии,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / iiko / Зарплатная ведомость,"Статьи!A17:O17; месячный лист: строка Результаты ревизии, направление Общее; Из Отчетов!C16:N16; Зарплатная ведомость: Свод, строка 16 Штрафы по ревизиям","Целевое правило: сумма двух компонентов - подписанные результаты продуктовых инвентаризаций за месяц через /reports/storeOperations плюс штрафы по ревизиям за месяц из Зарплатная ведомость -> Свод, строка 16; iiko signed total инвертируется в целевой знак ОПиУ, штрафы записываются отрицательным компонентом",iiko Товары и склады -> Документы инвентаризации; GET /resto/api/reports/storeOperations с documentTypes=INCOMING_INVENTORY; Зарплатная ведомость через IMPORTRANGE,"отобрать продуктовые инвентаризации за месяц, обычно еженедельно по понедельникам, редко вторник; отличать по контексту документа и товарам внутри: рис, молоко, креветки и другое сырье; исключить упаковку; сложить подписанные результаты инвентаризаций; взять штрафы по ревизиям из Свод строка 16 за тот же месяц; итог = -inventory_signed_total - fines_revision_amount",актуально; ручной перенос; целевое правило уточнено 2026-05-22,,"Владелец: результаты ревизии собираются из продуктовых инвентаризаций через endpoint /reports/storeOperations. Ревизии проходят еженедельно, обычно по понедельникам, иногда во вторник. Продуктовый контекст определяется по названиям товаров внутри документа. Уточнение 2026-05-22: результат ревизии - это сумма результатов инвентаризации за месяц и штрафов по ревизиям за этот месяц из Зарплатная ведомость -> Свод, строка 16. Штрафы компенсируют ревизионный расход и в ОПиУ добавляются со знаком минус.","Строка считается как signed inventory total за месяц из iiko Товары и склады -> Документы инвентаризации / API /reports/storeOperations с documentTypes=INCOMING_INVENTORY плюс штрафы по ревизиям за тот же месяц из Зарплатная ведомость -> Свод строка 16. В целевом знаке ОПиУ: Результаты ревизии = -inventory_signed_total - fines_revision_amount. Если продуктовые инвентаризации не найдены/не отделены от упаковки или в зарплатной ведомости нет штрафов за период, статус периода = требует проверки / источник не найден, не автоматический 0."
Штрафы по ревизиям,компонент строки Результаты ревизии,2026 ОПиУ • [ИП Шокина] / Зарплатная ведомость,Из Отчетов / Зарплатная ведомость / Свод,"Из Отчетов!C16:N16; Зарплатная ведомость: Свод, строка 16 Штрафы по ревизиям",Компонент строки Результаты ревизии: брать значение строки 16 Штрафы по ревизиям на листе Свод за соответствующий месяц и включать в строку Результаты ревизии со знаком минус,Зарплатная ведомость через IMPORTRANGE,взять значение строки 16 Штрафы по ревизиям на листе Свод за месяц; в ОПиУ оно доступно через Из Отчетов!C16:N16; включить в строку Результаты ревизии со знаком минус,актуально как компонент; отдельную строку не добавлять,,Владелец 2026-05-22: штрафы по ревизиям входят в строку Результаты ревизии вместе с результатами продуктовых инвентаризаций. Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ через IMPORTRANGE на лист Из Отчетов.,"Штрафы по ревизиям являются компонентом строки Результаты ревизии, источник - Зарплатная ведомость, лист Свод, строка 16 за соответствующий месяц; в ОПиУ источник уже импортируется на лист Из Отчетов. Записывать как отрицательный компонент строки Результаты ревизии, потому что штрафы компенсируют ревизионный расход и увеличивают прибыль."
Траты на курьерскую службу,курьеры / доставка,2026 ОПиУ • [ИП Шокина],Статьи / iiko P&L,Статьи!A18:O18; iiko P&L Account.Name=Зарплата курьеров,"Источник подтвержден владельцем как основной: раздел iiko Финансы -> Отчет о прибылях и убытках, строка Зарплата курьеров; API preset endpoint /v2/reports/olap/byPresetId/8c13763a-35bf-9f27-017f-5468b1e70021",iiko P&L preset,"GET /resto/api/v2/reports/olap/byPresetId/8c13763a-35bf-9f27-017f-5468b1e70021; параметры summary=false, dateFrom=YYYY-MM-DD, dateTo=YYYY-MM-DD; dateTo является исключающей верхней границей, поэтому месяц запрашивать как первое число месяца -> первое число следующего месяца; фильтр Account.Name=Зарплата курьеров, Account.Type=EXPENSES; итог = SUM(Sum.ResignedSum) за месяц",актуально; основной источник; проверено на апреле 2026 live API,,"Владелец: траты на курьерскую службу берутся из раздела iiko Финансы, Отчет о прибылях и убытках, строка Зарплата курьеров. Проверка live API: dateFrom=2026-04-01/dateTo=2026-04-30 дает 238043 и не включает последний день месяца; корректный полный апрель dateFrom=2026-04-01/dateTo=2026-05-01 дает Account.Name=Зарплата курьеров, Account.Type=EXPENSES, Store=(Прочее), Sum.ResignedSum=248401. Владелец подтвердил: этот источник сохранить как основной для получения информации о зарплате курьеров.","Строка Траты на курьерскую службу считается из iiko Финансы -> Отчет о прибылях и убытках, строка Зарплата курьеров. Это основной источник для зарплаты курьеров. API: GET /resto/api/v2/reports/olap/byPresetId/8c13763a-35bf-9f27-017f-5468b1e70021 с summary=false. Период задавать полуинтервалом: dateFrom = первое число месяца, dateTo = первое число следующего месяца. Брать SUM(Sum.ResignedSum) по Account.Name=Зарплата курьеров за месяц; положительное значение является расходом. Для апреля 2026 корректная сумма = 248401. Если строка/период не найдены, статус периода = требует проверки / источник не найден, не 0."
Комиссия за эквайринг,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A19:O19,Источник подтвержден владельцем: статья ОПиУ заполняется из статьи ДДС Эквайринг за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: Эквайринг",актуально как источник; ручной перенос; требует проверки периода,,Владелец: Комиссия за эквайринг внутри ДДС - статья Эквайринг; это одна и та же статья для ОПиУ. Использовать 2026 ДДС — Классический • ИП Шокина.,"Строка Комиссия за эквайринг берется из 2026 ДДС — Классический • ИП Шокина по статье ДДС Эквайринг за соответствующий месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Транспортные услуги,доставка / логистика,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A20:O20,Источник подтвержден владельцем: статья ОПиУ заполняется из одноименной статьи ДДС Транспортные услуги за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: Транспортные услуги",актуально как источник; ручной перенос; требует проверки периода,,Владелец: Транспортные услуги внутри ДДС также есть статья Транспортные услуги; для ОПиУ брать ее из 2026 ДДС — Классический • ИП Шокина.,"Строка Транспортные услуги берется из 2026 ДДС — Классический • ИП Шокина по статье ДДС Транспортные услуги за соответствующий месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Расходы на питание персонала,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A21:J21,Источник подтвержден владельцем: статья ОПиУ заполняется из одноименной статьи ДДС Расходы на питание персонала за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: Расходы на питание персонала",актуально как источник; ручной перенос; требует проверки периода,,Владелец: Расходы на питание персонала внутри ДДС есть как статья Расходы на питание персонала; для ОПиУ брать ее из 2026 ДДС — Классический • ИП Шокина.,"Строка Расходы на питание персонала берется из 2026 ДДС — Классический • ИП Шокина по статье ДДС Расходы на питание персонала за соответствующий месяц. Если месяц или статья не найдены, статус периода = требует проверки / источник не найден, не 0."
Оплата систем автоматизации,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A22:J22,Источник подтвержден владельцем: статья ОПиУ собирается из ДДС/документов по accrual; Реви/Greevy оплачивается раз в полгода и делится на 6,ДДС классический + accrual schedules,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; статья ДДС: Оплаты систем автоматизации; для Реви/Greevy можно брать сумму оплаты из ДДС или T-Bank и делить на 6; для iiko/Леммы приоритетны PDF-счета/УПД Mail.ru","актуально; источники подтверждены; считать по accrual, не по cash basis",,"Владелец: для оплаты систем автоматизации есть все источники; Реви/Greevy оплачивается раз в полгода, поэтому в ОПиУ должна идти сумма платежа / 6 за каждый месяц периода.","Строка Оплата систем автоматизации собирается по accrual. iiko и Лемма берутся по периоду услуги из Mail.ru PDF-счетов/УПД с T-Bank сверкой. Доксинбокс — по договорному месячному accrual. Реви/Greevy: найти полугодовой платеж в ДДС или T-Bank и заносить в ОПиУ каждый месяц сумму платежа / 6; полный cash-платеж не записывать в ОПиУ одним месяцем. Если месяц или источник не найден, статус периода = требует проверки / источник не найден, не 0."
Содержание торговых точек,общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи / ДДС / iiko накладные,Статьи!A23:J23; ДДС статья Содержание торговых точек; iiko incomingInvoice; пример /Users/grigorii/Downloads/15. отчет март.xlsx Лист1!A15:B21,Строка ОПиУ = статья ДДС Содержание торговых точек за месяц + закупка расходников на торговые точки из проведенных приходных накладных iiko за месяц,ДДС классический + iiko приходные накладные,"компонент 1: Google Sheets 2026 ДДС — Классический • ИП Шокина, статья ДДС Содержание торговых точек; компонент 2: iiko GET /resto/api/documents/export/incomingInvoice с from/to=YYYY-MM-DD, только status=PROCESSED, сумма item.sum по whitelist товаров; item.product является GUID, название брать из GET /resto/api/v2/entities/products/list; мартовский Excel - контрольный пример состава, не первичный источник",актуально как смешанный источник; iiko API проверен на марте 2026; ручной перенос; требуется whitelist товаров/проверка периода,,"Владелец: статья ОПиУ Содержание торговых точек является суммой двух компонентов: статьи ДДС Содержание торговых точек и закупки расходников на торговые точки. Файл /Users/grigorii/Downloads/15. отчет март.xlsx - пример отчета за март, который пригодится для других статей; строки 15-21 относятся к затратам на торговые точки. Уточнение владельца 2026-05-19: для Закупки расходников на ТТ данные берутся из накладных.","Строка Содержание торговых точек считается как сумма по статье ДДС Содержание торговых точек за месяц плюс компонент Закупка расходников на торговые точки из проведенных приходных накладных iiko за месяц. API: GET /documents/export/incomingInvoice с from/to=YYYY-MM-DD, status=PROCESSED; соединить item.product GUID со справочником /v2/entities/products/list; суммировать item.sum по whitelist конкретных iiko-товаров. Мартовский Excel /Users/grigorii/Downloads/15. отчет март.xlsx, Лист1!A15:B21 является контрольным примером состава: чековая лента, туалетная бумага, полотенца бумажные, полотенце вафельное, мешки для мусора, моющие, мешки кондитерские. Если статья ДДС, накладные, справочник или whitelist не найдены, статус периода = требует проверки / источник не найден, не 0."
Аренда склада,аренда / общепроизводственные,2026 ОПиУ • [ИП Шокина],Статьи,Статьи!A24:J24,Фиксированная сумма 5 000 руб. в месяц,фиксированная сумма / договор,"ежемесячно ставить 5 000 руб.; если владелец сообщает об изменении ставки или периода аренды, месяц требует проверки",актуально; фиксированная сумма; ручной перенос,,Владелец: Аренда склада - это просто 5 000 рублей в месяц.,"Строка Аренда склада считается как фиксированная сумма 5 000 руб. в месяц. Если ставка или период аренды изменились, соответствующий месяц получает статус требует проверки; отсутствие отдельного документа за месяц не считается нулем."
