dds_article,article_group,direction,default_counterparty_role,pnl_line_candidate,balance_relation,source_today,automation_source,requires_document,requires_owner_review,quality_status,comment
"Депозит списание","payroll_deposit","non_cash","сотрудник","Списание невостребованных депозитов / прочие доходы после policy","deposit liability write-off","Payroll module spec; P&L methodology","Payroll deposit ledger","yes","yes","owner_policy_needed","Не показывать сотруднику в персональном отчете; держать во внутреннем audit trail."
"Списание невостребованных депозитов","below_ebitda_income","non_cash_pnl","payroll ledger","Списание невостребованных депозитов","deposit liability write-off","P&L methodology; Payroll module spec","Payroll deposit ledger","yes","yes","known_structure","Не считать нулем, если строка не подключена формулой в текущем ОПиУ."
"Налоги с з/п","payroll_taxes","outflow","ФНС / фонды","Налоги с ЗП","tax payable settlement","T-Bank match 2026-01..03; P&L methodology","Bank API tax rules + payroll control","yes","no","matched_bank_dds","Основной источник P&L-строки налогов с зарплаты — ДДС; payroll только контрольная часть."
"Налоги с ЗП","payroll_taxes","outflow","ФНС / фонды","Налоги с ЗП","tax payable settlement","fixed_costs_2026","Bank API tax rules + payroll control","yes","no","alias_normalize","Вариант написания; нормализовать вместе с Налоги с з/п."
"Налоги","taxes_below_ebitda","outflow","ФНС / фонды","Налоги","tax payable settlement","Google Sheets OPiU/DDS 2023; T-Bank match 2026-01..03","Bank API tax rules + tax calendar","yes","some","matched_bank_dds","Не смешивать с налогами с зарплаты без назначения и налогового календаря."
"РКО","bank_fees","outflow","банк","РКО","bank fee expense","Google Sheets OPiU/DDS 2023; fixed_costs_2026","Bank API fee rules","no","no","known_structure","Если в банковском контуре нет строк за месяц, можно закрывать как 0 только для этого банковского контура."
"Прочие банковские комиссии","bank_fees","outflow","банк","Прочие банковские комиссии","bank fee expense","Google Sheets OPiU 2023; fixed_costs_2026","Bank API fee rules","no","no","matched_bank_dds","Отдельно от эквайринга, овердрафта и кредитных процентов."
"Эквайринг","payment_fees","outflow_or_netting","банк / платежный партнер","Комиссия за эквайринг","payment fee expense or revenue netting","Google Sheets DDS 2023; T-Bank match 2026-01..03","Bank API + acquiring reports","no","no","matched_bank_dds","В ДДС может быть удержание/неттинг; выручку считать gross через iiko/заказы."
"Комиссия за эквайринг","payment_fees","outflow_or_netting","банк / платежный партнер","Комиссия за эквайринг","payment fee expense or revenue netting","Google Sheets OPiU 2023; fixed_costs_2026","Bank API + acquiring reports","no","no","known_structure","P&L-алиас к ДДС-статье Эквайринг."
"Комиссия агрегатору","delivery_aggregators","outflow","агрегатор доставки / партнер","Комиссия агрегатору","sales commission payable","Google Sheets OPiU 2023; T-Bank match 2026-01..03","Aggregator reports + Bank API","yes","some","matched_needs_source","Для P&L целевой источник — данные агрегатора/ручной ввод; ДДС — сверка оплаты."
"Курьерская служба -","couriers_cash","outflow","курьерская служба / сотрудники доставки","Траты на курьерскую службу","delivery payroll/payable settlement","Google Sheets DDS 2023","Bank API + iiko P&L courier control","yes","yes","known_structure","Не использовать вместо iiko P&L строки Зарплата курьеров без сверки."
"Траты на курьерскую службу","couriers_pnl","non_cash_pnl","iiko P&L","Траты на курьерскую службу","delivery expense accrual","Google Sheets OPiU 2023; economic block","iiko P&L preset","no","no","pnl_source_not_dds","P&L-источник — iiko P&L preset; ДДС только cash reconciliation."
"Транспортные услуги","logistics","outflow","транспортный подрядчик","Транспортные услуги","expense/AP settlement","Google Sheets OPiU 2023; fixed_costs_2026","Bank API + documents","yes","some","known_structure","Ноль допустим только если банковский контур проверен и статья не документная."
"Аренда торговых точек","rent","outflow","арендодатель / объектный сервис","Аренда торговой точки Черникова / исторически Гагарина","lease payable settlement","Google Sheets DDS 2023; T-Bank match 2026-01..03","Contract schedule + Bank API","yes","some","matched_bank_dds","Включает некоторые объектные сервисы по текущей DDS-логике; нужна нормализация ролей."
"Аренда торговой точки Черникова","rent","outflow_or_accrual","арендодатель","Аренда торговой точки Черникова","lease expense / payable","Google Sheets OPiU 2023; fixed_costs_2026","Contract schedule + Bank API","yes","no","fixed_contract","Фиксированная сумма по договору; отсутствие оплаты не делает расход нулем."
"Аренда торговой точки Гагарина","rent_historic","outflow_or_accrual","арендодатель","не активная P&L-строка 2026","lease expense / payable","Google Sheets OPiU 2023; P&L methodology","Owner review","yes","yes","historic_not_active","Гагарина историческая; любые суммы после 2024 требуют проверки."
"Аренда склада","rent","outflow_or_accrual","арендодатель склада","Аренда склада","lease expense / payable","Google Sheets OPiU 2023; fixed_costs_2026","Contract schedule + Bank API","yes","no","fixed_contract","Фиксированная сумма по договору; не зависит только от факта оплаты."
"Коммунальные платежи Черникова","utilities","outflow_or_accrual","арендодатель / ресурсоснабжающая организация","Коммунальные платежи Черникова","utility payable / expense","Google Sheets OPiU 2023; fixed_costs_2026","Bills/acts + Bank API","yes","yes","partial","Нужны платежки/счета арендодателя; отсутствие документа не равно ноль."
"Коммунальные платежи Гагарина","utilities_historic","outflow_or_accrual","арендодатель / ресурсоснабжающая организация","не активная P&L-строка 2026","utility payable / expense","Google Sheets OPiU 2023; P&L methodology","Owner review","yes","yes","historic_not_active","Историческая точка; не включать в активную модель без подтверждения."
"Содержание торговых точек","site_maintenance","outflow","поставщик расходников / сервис объекта","Содержание торговых точек","expense/AP settlement or inventory","Google Sheets OPiU/DDS 2023; T-Bank match; fixed_costs_2026","Bank API + iiko invoices + owner rules","yes","some","partial","ДДС-компонент неполный; часть расходников должна идти через iiko накладные."
"Содержание офиса","office_maintenance","outflow","поставщик офисных расходников","Содержание офиса / административные расходы","expense/AP settlement","Google Sheets DDS 2023; T-Bank match","Bank API + business-card rules","yes","yes","matched_needs_review","Отдельно от торговых точек и персональных расходов."
"Расходы на питание персонала","staff_meals","outflow","розничный поставщик / бизнес-карта","Расходы на питание персонала","staff welfare expense","Google Sheets OPiU/DDS 2023; T-Bank match; fixed_costs_2026","Bank card merchant rules + owner review","yes","some","matched_needs_review","По бизнес-картам легко спутать с поставщиками; нужны правила merchant/category."
"Вспомогательные товары","aux_goods","outflow_or_accrual","поставщик вспомогательных товаров","Вспомогательные товары","inventory/expense depending policy","fixed_costs_2026","iiko invoices + Bank API","yes","yes","out_of_scope_pending","Целевой источник — iiko приходные накладные; ДДС только оплата."
"Вспомогательные товары(учет по факту оплаты)","aux_goods_legacy","outflow","поставщик вспомогательных товаров","Вспомогательные товары","expense by cash legacy policy","Google Sheets OPiU 2023","Bank API + iiko migration","yes","yes","legacy_policy","Старое правило учета по оплате требует подтверждения для новой модели."
"Оплаты систем автоматизации","automation_it","outflow","SaaS / учетная система / ЭДО","Оплата систем автоматизации","expense/AP settlement","Google Sheets DDS 2023; T-Bank match; counterparty registry","EDO/API invoices + Bank API + accrual schedules","yes","no","matched_bank_dds","Сюда относятся iiko, DocsInbox, Revvi/Greevy, Lemma и похожие сервисы. Для Реви/Greevy полугодовой платеж из ДДС/T-Bank делить на 6 и заносить 1/6 в ОПиУ каждого месяца периода."
"Оплата систем автоматизации","automation_it","outflow","SaaS / учетная система / ЭДО","Оплата систем автоматизации","expense/AP settlement","Google Sheets OPiU 2023; fixed_costs_2026","EDO/API invoices + Bank API","yes","no","alias_normalize","P&L-формулировка; нормализовать к Оплаты систем автоматизации в ДДС."
"Телекоммуникации","telecom","outflow","телефония / интернет / хостинг","Телекоммуникации","expense/AP settlement","Google Sheets OPiU/DDS 2023; T-Bank match; fixed_costs_2026","Contract/API + Bank API","yes","some","partial","Mango Office требует отдельной выгрузки; фиксированные сервисы можно вести по договору."
"Поиск и найм персонала","hr_recruiting","outflow","площадка вакансий / подрядчик найма","Поиск и найм персонала","HR expense","Google Sheets OPiU 2023; T-Bank match; fixed_costs_2026","Bank card merchant rules + documents","yes","no","matched_bank_dds","Avito и похожие merchant правила закреплены как HR/recruiting."
"Таргетированная реклама","marketing","outflow","маркетинговый подрядчик","Таргетированная реклама","marketing expense/AP settlement","WorkMail smmbux@yandex.ru; T-Bank match; counterparty registry","WorkMail UPD + Bank API settlement check","yes","no","owner_confirmed_source","Для P&L первичны УПД ИП Билинский из WorkMail-письма Документы для ИП Шокина Кристина Юрьевна: обслуживание/продвижение и отдельный УПД по рекламному бюджету. ДДС/T-Bank только сверка оплаты, не дата признания расхода. Письмо Отправка отчета не является первичным источником ОПиУ."
"Контекстная реклама","marketing","outflow","маркетинговый подрядчик","Контекстная реклама","marketing expense/AP settlement","Google Sheets OPiU 2023; T-Bank match; counterparty registry","EDO DocsInbox/SBIS + Bank API","yes","no","owner_confirmed_source","Синапс/Synapse требуют разделения SEO и контекста, если документы позволяют."
"SEO-оптимизация","marketing","outflow","SEO-подрядчик","SEO - оптимизация","marketing expense/AP settlement","Google Sheets DDS 2023; T-Bank match; counterparty registry","EDO DocsInbox/SBIS + Bank API","yes","no","owner_confirmed_source","Нормализовать дефис и пробелы между DDS и P&L."
"SEO - оптимизация","marketing","outflow","SEO-подрядчик","SEO - оптимизация","marketing expense/AP settlement","Google Sheets OPiU 2023","EDO DocsInbox/SBIS + Bank API","yes","no","alias_normalize","P&L-вариант написания для SEO-оптимизации."
"Баннерная реклама","marketing_legacy","outflow","маркетинговый подрядчик","Наружная реклама / историческая баннерная реклама","marketing expense/AP settlement","T-Bank match 2026-01..03; counterparty registry","EDO DocsInbox/SBIS + Bank API","yes","yes","legacy_needs_review","Сити подтвержден как исторический поставщик; частные подрядчики требуют детализации."
"Наружная реклама","marketing","outflow_or_accrual","маркетинговый подрядчик","Наружная реклама","marketing expense/AP settlement","P&L methodology","EDO DocsInbox/SBIS + Bank API","yes","yes","target_article","Есть в P&L как целевая строка; в DDS может жить как Баннерная реклама."
"Прочие маркетинговые услуги","marketing","outflow","маркетинговый подрядчик / дизайнер","Прочие маркетинговые услуги","marketing expense/AP settlement","Google Sheets OPiU 2023; T-Bank match; counterparty registry","EDO DocsInbox/SBIS + Bank API","yes","some","matched_bank_dds","DLA SMM / ИП Билинский больше не использовать для этой статьи без нового owner decision; текущий источник DLA SMM относится к Таргетированной рекламе через WorkMail."
"Реклама на Яндекс-картах","marketing","outflow","площадка / подрядчик","Прочие маркетинговые услуги / Контекстная реклама после review","marketing expense/AP settlement","Google Sheets DDS 2023","EDO/API documents + Bank API","yes","yes","known_structure","Требует финального маппинга в P&L-строку."
"Листовки","marketing_print","outflow","типография / подрядчик","Листовки","marketing expense/AP settlement","Google Sheets OPiU 2023","Documents + Bank API","yes","yes","known_structure","Не смешивать с печатными материалами, помеченными как неиспользуемые."
"Печатные материалы","marketing_print_legacy","outflow","типография / подрядчик","Печатные материалы НЕ ИСПОЛЬЗУЕМ","marketing expense/AP settlement","Google Sheets OPiU 2023","Owner review","yes","yes","legacy_not_used","В P&L методологии строка помечена как не используемая."
"Сайт и приложение","site_app","outflow","платформа сайта / мобильного приложения","Сайт и приложение","IT/marketing expense or prepaid service","Google Sheets OPiU 2023; T-Bank match; counterparty registry","EDO DocsInbox/SBIS + Bank/API partner reports","yes","no","owner_confirmed_source","Отделять стоимость платформы от интернет-эквайринга и зачислений заказов."
"Услуги ФД","admin_services","outflow","финансовый директор / налоговый консультант","Услуги ФД и НК","admin service expense/AP settlement","Google Sheets OPiU/DDS 2023","Documents + Bank API","yes","yes","known_structure_gap","В старом DDS была проблема вида деятельности; закрепить статью в справочнике."
"Услуги ФД и НК","admin_services","outflow","финансовый директор / налоговый консультант","Услуги ФД и НК","admin service expense/AP settlement","T-Bank match 2026-01..03; fixed_costs_2026","Documents + Bank API + counterparty override","yes","no","matched_bank_dds","Наумченко закреплен как эта роль; не автоматизировать как частного подрядчика без правила."
"Получение овердрафта","financing","financing_inflow","банк","не P&L","loan/overdraft liability increase","T-Bank match 2026-01..03","Bank API loan rules","yes","no","matched_bank_dds","Финансовый приток; не доход и не выручка."
"Погашение овердрафта","financing","financing_outflow","банк","не P&L по телу долга","loan/overdraft liability decrease","Google Sheets DDS 2023; T-Bank match 2026-01..03","Bank API loan rules","yes","no","matched_bank_dds","Тело долга идет в баланс, не в расходы P&L."
"Овердрафт","financing_legacy","outflow_or_financing","банк","Комиссия за овердрафт / тело овердрафта после split","loan/overdraft liability","Google Sheets DDS 2023","Bank API loan rules","yes","yes","needs_split","Старую статью нужно разложить на получение, погашение, проценты и комиссии."
"Комиссия за овердрафт","below_ebitda_finance","outflow","банк","Комиссия за овердрафт","finance cost below EBITDA","Google Sheets OPiU 2023","Bank API fee rules","no","no","known_structure","Ниже EBITDA; отделять от тела овердрафта."
"Оплаты по кредитам и займам","financing","financing_outflow","банк / займодавец","не P&L по телу долга","loan liability decrease","Google Sheets DDS 2023","Bank API loan schedule","yes","yes","known_structure","Разделить тело долга, проценты и комиссии."
"Проценты по кредитам","below_ebitda_finance","outflow_or_accrual","банк / займодавец","Проценты по кредитам","interest payable / finance cost","Google Sheets OPiU 2023","Loan schedule + Bank API","yes","no","known_structure","Ниже EBITDA; P&L по начислению процентов, ДДС по оплате."
"Возврат денег собственникам","equity_owner","financing_outflow","собственник","не P&L","equity withdrawal / owner settlement","Google Sheets DDS 2023","Owner ledger + Bank API","yes","yes","known_structure","Не расход бизнеса; нужен отдельный owner equity ledger."
"Покупка ОС","capex_fixed_assets","investment_outflow","поставщик оборудования / техники","не расход P&L; связать с Амортизацией","fixed asset capitalization","Google Sheets DDS 2023; T-Bank match; fixed assets spec","Bank API + EDO/invoices + FA register","yes","yes","matched_needs_fa_review","Платеж за ОС уходит в актив/баланс; P&L получает только амортизацию."
"Амортизация","fixed_assets_pnl","non_cash_pnl","реестр ОС","Амортизация","fixed asset accumulated depreciation","Google Sheets OPiU 2023; fixed assets spec","FA register depreciation schedule","yes","yes","pnl_source_not_dds","Без актуального реестра ОС не считать нулем и не переносить историческую сумму."
"Списание продукции и сырья","inventory_adjustments","non_cash_or_outflow","iiko / ревизия","Списание продукции и сырья","inventory write-off","Google Sheets OPiU 2023; fixed_costs_2026","iiko write-offs + owner review","yes","yes","out_of_scope_pending","Не банковская оплата; ДДС может не быть."
"Результаты ревизии","inventory_adjustments","non_cash_pnl","iiko / ревизия + зарплатная ведомость","Результаты ревизии","inventory adjustment","Google Sheets OPiU 2023; fixed_costs_2026; payroll Свод row 16","Inventory sheets + payroll penalties component","yes","no","known_structure","Строка = signed product inventory result - payroll revision fines; штрафы по ревизиям входят в эту же строку отрицательным компонентом."
"Результаты инвентаризации коробки д/пиццы","inventory_adjustments","non_cash_pnl","инвентаризация упаковки","Результаты инвентаризации коробки д/пиццы","inventory adjustment","Google Sheets OPiU 2023","Inventory sheets","yes","yes","known_structure","P&L-строка, не банковская статья."
"Результаты инвентаризации упаковки (кроме коробок для пиццы)","inventory_adjustments","non_cash_pnl","инвентаризация упаковки","Результаты инвентаризации упаковки","inventory adjustment","Google Sheets OPiU 2023","Inventory sheets","yes","yes","known_structure","P&L-строка, не банковская статья."
"Корретировки кассы -","cash_corrections","outflow","касса / ответственный","не P&L без review","cash adjustment / suspense","Google Sheets DDS 2023","Cash ledger + owner review","yes","yes","needs_owner_review","Сохранено историческое написание с ошибкой; требует нормализации и основания."
"Прочие расходы","other","outflow","неопределенный контрагент","Прочие расходы","expense/AP settlement or suspense","Google Sheets OPiU/DDS 2023; T-Bank match","Bank API + owner review","yes","yes","needs_owner_review","Не автоматизировать как корзину без владельца статьи и документа."
"Прочие доходы","other_income","inflow","неопределенный контрагент","Прочие доходы","income or liability release","P&L methodology","Bank/API + owner review","yes","yes","target_article","Пока отсутствуют; пустота не равна нулю без источника."
"Штрафы и пени","below_ebitda_penalties","outflow","госорган / контрагент","Штрафы и пени","penalty payable / below EBITDA expense","P&L methodology","Bank API + tax/legal documents","yes","yes","target_article","Ниже EBITDA; нужна связь с требованием/решением."
"Прямые постоянные","pnl_group_header","non_cash_pnl","не контрагент","не статья ДДС","none","Google Sheets OPiU 2023","Do not import as DDS article","no","yes","group_header","Похоже на строку-группу; не использовать как платежную статью."
