rule_id,rule_name,current_source,formula_or_logic,applies_to_roles,applies_to_period,pnl_or_cashflow,automation_priority,quality_status,owner_question
PR-024,"Накопительный фонд считается от оклада","Калькулятор!C20:I20","Если стаж достиг порога, фонд = floor(Оклад * percent_by_tenure)","shift_roles","per_shift_day","P&L accrual / employee liability","high","confirmed_formula","Подтвердить, что база фонда только Оклад, а не Оклад+Процент+Премия"
PR-025,"Пороги накопительного фонда","Исходные данные!V:W","0.5 года=5%; 1 год=10%; 1.5 года=15%","shift_roles","per_shift_day","P&L accrual / employee liability","high","confirmed_formula","История порогов нужна или правила постоянны?"
PR-026,"Выплата накопительного фонда","Персональный отчет!I7:J7; owner clarification 2026-05-20","Фонд выплачивается строго 15 января; формула Sheets показывает окно 1-15 января как legacy/helper behavior","eligible_staff","annual January 15","cashflow and liability close","high","confirmed_owner","В приложении сделать выплату/закрытие фонда строго 15 января"
PR-027,"Списание накоплений","Выгрузка; Персональный отчет!H7","Списание накоплений уменьшает фонд текущего года; причина не структурирована","all_staff","event_date","liability adjustment","medium","observed_register","Списание всегда связано с увольнением раньше срока?"
PR-028,"Выплата накоплений как обычная выплата","Выплаты; Персональный отчет; owner clarification 2026-05-20","Выплата накоплений отображается как обычная выплата; ячейка накоплений в персональном отчете после выплаты обнуляется","eligible_staff","payment_date","cashflow and liability close","high","confirmed_owner_with_sheet_gap","В приложении сделать явный fund transaction, чтобы обнуление было аудируемым"
PR-029,"Депозит по умолчанию зависит от категории","Исходные данные!G:J","Категории 1..5 имеют депозит 20000/15000/10000/7000/7000 и удержание 1000; категория 6 = 0","shift_roles","current_or_effective_date","deposit liability","high","confirmed_formula","Как выбрать депозитную категорию при нескольких ролях?"
PR-030,"Персональный override депозита","Категории и надбавки!F:H","Override требуемого депозита и суммы удержания имеет приоритет над категорией","individual_employee","effective_date","deposit liability","medium","confirmed_formula","Нужен ли срок действия override?"
PR-031,"Депозит удержание","Калькулятор!B26:C26; Выгрузка","Если собранный депозит меньше требуемого, создается Депозит удержание","shift_roles","pay_period","cashflow withholding / deposit build-up","high","confirmed_formula","Удержание делать раз в смену, неделю или расчетный период?"
PR-032,"Депозит возврат","Калькулятор!B25:C25; Категории и надбавки!J:L","Если статус Выдать, возврат = собранный депозит * коэффициент выдачи","terminated_staff","termination/final_calc","deposit liability release / cashflow when paid","high","confirmed_formula","Коэффициент применять к собранному, требуемому или доступному к возврату депозиту?"
PR-033,"Депозит списание","Калькулятор!B27:C27; Выгрузка; owner clarification 2026-05-20","Если статус Не выдавать, создается Депозит списание. Не показывать в персональном отчете сотрудника; держать во внутреннем депозитном audit trail","terminated_staff","termination/final_calc","deposit forfeiture / internal adjustment","high","confirmed_formula_and_owner","Определить P&L/management report для списанных депозитов"
PR-034,"Строки Выгрузки являются accrual ledger","Выгрузка","Дата, сумма, сотрудник, должность, подразделение, тип, комментарий; не обязательно денежное движение","all_staff","event_date","P&L payroll accrual","high","confirmed_formula","Нужно ли запретить ручное редактирование закрытых ledger lines?"
PR-035,"Выплаты являются cash ledger","Выплаты","Дата, сумма, сотрудник, должность, подразделение, тип выплаты, комментарий","all_staff","payment_date","cashflow","high","confirmed_formula","Какие источники выплат должны импортироваться автоматически?"
PR-036,"Персональный отчет суммирует по дата+сотрудник+тип","Персональный отчет","SUMIF по составному ключу агрегирует строки начислений и выплат","all_staff","selected_period","reporting","high","confirmed_formula","Нужно ли показывать все source lines вместо агрегата?"
PR-037,"Комментарии в персональном отчете могут теряться","Персональный отчет; Выгрузка!G:G","VLOOKUP возвращает только первое найденное значение по дате, сотруднику и типу","all_staff","selected_period","reporting","medium","quality_gap","Нужно ли переносить все комментарии как список?"
PR-038,"Недельный итог производства","Понедельные начисления","Итого = Оклад + Процент + Премия - НДФЛ - Штрафы - Ревизии","production_shift_roles","weekly","P&L payroll accrual","medium","confirmed_formula","Включать ли фонд, пособия, депозиты и списания в недельный итог?"
PR-039,"Недельная сводка зашита на Производство Черникова","Понедельные начисления","Формулы фильтруют подразделение Производство Черникова и стартуют от 2026-03-03","production_shift_roles","weekly","P&L payroll accrual","medium","needs_owner_confirmation","Это временное ограничение или бизнес-правило?"
PR-040,"P&L использует начисления, а не выплаты","labor_report.md; pnl-build-methodology.md","ФОТ для P&L считается по начислительным типам; выплаты используются для cash-flow сверки","all_staff","monthly","P&L payroll accrual","high","confirmed_formula","Финально подтвердить включение Накопительного фонда в ФОТ"
PR-041,"Списание невостребованных депозитов может идти в P&L","pnl-build-methodology.md","Строка Свод!17 пригодна для автоматического подтягивания в P&L, но в месячных листах не подключена","terminated_staff","monthly","P&L income/adjustment","medium","confirmed_owner","Какой line_type веб-приложение должно отдавать для этой строки?"
PR-042,"Пустота не равна нулю","workbook_architecture.md; payroll_calculation_flow.md","IFERROR и пустые строки означают missing/not_applicable, а не подтвержденный 0","all_staff","all_periods","data_quality","high","confirmed_formula","Какие статусы качества показывать пользователю?"
PR-043,"Контроль дублей накопительного фонда","Выгрузка!G4499:G8485","COUNTIFS помечает дубль по дате, сотруднику и типу Накопительный фонд","shift_roles","event_date","data_quality","medium","confirmed_formula","Нужно ли блокировать закрытие расчета при дубле?"
PR-044,"Калькулятор -> Выгрузка через Apps Script","workbook_architecture.md; owner clarification 2026-05-20","Выгрузка содержит значения; текущий перенос строк из калькулятора выполняется через Apps Script","all_staff","pay_period","process_control","high","confirmed_owner","В приложении заменить Apps Script на payroll_run и immutable ledger lines"
PR-045,"Курьерские выплаты не найдены в текущем payroll-контуре","labor_report.md","График курьеров содержит доставки и выходы, но не ставки и суммы выплат","couriers","monthly","P&L payroll accrual / cashflow","low","source_not_found","Где хранится источник правил и факта оплаты курьеров?"
