sheet,range_or_cell,purpose,formula_type,depends_on,feeds_into,manual_or_formula,quality_status,comment
Калькулятор,C11:I12,Категория и старшинство,SUMIF/VLOOKUP,"Исходные данные!A:C; Штат!A:D","Калькулятор!C13:I15",formula,verified,"Категория нужна для ставки, старшинство для надбавки."
Калькулятор,C13:I13,Индивидуальный коэффициент для процента,IF/SUMIFS,"Калькулятор!C9:I11; Исходные данные!A:D",Калькулятор!C16:I16,formula,verified,"Полная смена = полный коэффициент; неполная = часы/12 * коэффициент."
Калькулятор,C14:I15,Оклад/ставка смены,ROUNDDOWN/IF/SUMIFS,"Исходные данные!L:N; Исходные данные!S:T; Калькулятор!C9:I12",Калькулятор output lines,formula,needs_owner_check,"Есть неясная ссылка C15:I15 на C25:I25 для внеурочного коэффициента."
Калькулятор,C16:I16,Процент от выручки,FLOOR/IF thresholds,"Калькулятор!C5:I5; Калькулятор!C8:I8; Калькулятор!C13:I13; Исходные данные!P:Q",Калькулятор output lines,formula,verified,"Формула: floor(rate(revenue)*revenue/total_coeff*employee_coeff)."
Калькулятор,C17:I18,Премии и комментарии,FILTER/SUM/JOIN,Категории и надбавки!R:V,Калькулятор output lines,formula,verified,"Фильтр по дате, сотруднику и типу операции."
Калькулятор,C19:I19,Больничные/отпуска/пособия,FILTER,Категории и надбавки!R:U,Калькулятор output lines,formula,verified,"Тип берется из строки B19."
Калькулятор,C20:I20,Накопительный фонд,IF/VLOOKUP/FLOOR,"Калькулятор!C15:I15; Штат!A:G; Исходные данные!V:W",Калькулятор output lines,formula,verified,"Начисляется от оклада при достижении стажевого порога."
Калькулятор,C21:I23,Штрафы/удержания/НДФЛ и комментарии,FILTER/SUM/FLOOR/JOIN,Категории и надбавки!R:V,Калькулятор output lines,formula,verified,"Суммы хранятся положительными, знак задается типом начисления."
Калькулятор,B24:E24,Штраф по ревизии и флаг исключения,IF,Калькулятор!J10:J11,Калькулятор output lines,formula,needs_owner_check,"Логика зависит от должности и чекбокса исключения из ревизии."
Калькулятор,B25:C27,Депозит возврат/удержание/списание,IF/VLOOKUP,Штат!J:Q,Калькулятор output lines,formula,verified,"Возврат, удержание и списание кодируются отдельными типами строк."
Технический лист,F1:H2,Календарные helper-поля,YEAR/TODAY/DATE/DATEDIF,системная дата,Технический лист!A:A,formula,verified,"Используется для календарных/отчетных диапазонов."
Технический лист,I1:I,Список сотрудников для персонального отчета,SORT/UNIQUE/FILTER,"Выгрузка!A:C; Выгрузка!E; Персональный отчет!A:B",Персональный отчет,formula,verified,"Исключает подразделение Администрация."
Выгрузка,A:F,Факт-таблица начислений,values,Калькулятор/ручной перенос,"Понедельные начисления; Персональный отчет; Выплаты",manual_or_pasted,verified,"Нет заголовка: A дата, B сумма, C сотрудник, D роль, E подразделение, F тип."
Выгрузка,G4499:G8485,Проверка дублей накопительного фонда,COUNTIFS/IF,Выгрузка!A:C; Выгрузка!F,операционный контроль,formula,verified,"Помечает `Дубль` для повторов накопительного фонда в день по сотруднику."
Выгрузка,H1:H,Год начисления,YEAR,Выгрузка!A:A,фильтры/отчеты,formula,verified,"Array-style helper по дате начисления."
Понедельные начисления,A:B,Генерация недельных периодов,TEXT/DATE/ROW/TODAY,фиксированная дата 2026-03-03,Понедельные начисления!C:I,formula,verified,"Показывает недели примерно до today+370."
Понедельные начисления,C:H,Недельные суммы по типам,SUMIF/TEXT/WEEKDAY,Выгрузка!A:B; Выгрузка!E:F,Понедельные начисления!I,formula,verified,"Фильтр по подразделению и типу начисления."
Понедельные начисления,I,Итого за неделю,arithmetic,Понедельные начисления!C:H,итоговая сводка,formula,verified,"Итого = оклад + процент + премия - НДФЛ - штрафы - ревизии."
