entity,purpose,key_fields,source_today,target_owner,privacy_level,comment
ManualPayrollEvent,"Ручное начисление, удержание или корректировка","manual_event_id; employee_id; event_date; event_type; amount; comment; reason; actor_id","Категории и надбавки!R:V","Payroll owner","payroll_sensitive","Премии, штрафы, пособия, НДФЛ и корректировки"
DepositRule,"Правила депозита по категории и overrides","deposit_rule_id; category; required_amount; withholding_amount; override_allowed; active_from","Исходные данные!G:J; Категории и надбавки!F:H","Payroll owner","internal","Override сотрудника имеет приоритет над категорией"
DepositAccount,"Депозитный счет сотрудника","deposit_account_id; employee_id; required_amount; collected_amount; withholding_amount; status; return_coefficient","Штат!J:Q","Payroll owner","payroll_sensitive","Депозит нельзя вести только строками зарплаты"
DepositTransaction,"Движение по депозиту","deposit_tx_id; deposit_account_id; employee_id; date; type; amount; payroll_line_id; reason","Выгрузка: Депозит удержание/возврат/списание","Payroll owner","payroll_sensitive","Типы: withholding, return, writeoff"
AccumulationFundRule,"Правила накопительного фонда по стажу","fund_rule_id; tenure_years_min; percent_of_salary; active_from","Исходные данные!V:W","Payroll owner","internal","0.5 года 5%; 1 год 10%; 1.5 года 15%"
AccumulationFundAccount,"Счет накопительного фонда по сотруднику и году","fund_account_id; employee_id; fund_year; accrued_amount; written_off_amount; paid_amount; eligibility_status","Персональный отчет!H7; Выгрузка","Payroll/HR owner","payroll_sensitive","Фонд не должен смешиваться с обычным К выплате"
AccumulationFundTransaction,"Движение накопительного фонда","fund_tx_id; fund_account_id; employee_id; date; type; amount; payroll_line_id; payment_id; reason","Выгрузка: Накопительный фонд/Списание накоплений; Выплаты: Выплата накоплений","Payroll owner","payroll_sensitive","Нужно связать выплату накоплений с закрытием фонда"
Payment,"Фактическая денежная выплата","payment_id; employee_id; payment_date; payment_type; amount; cash_source; comment; import_batch_id","Выплаты","Finance/payroll owner","payroll_sensitive","Cash-flow ledger: ЗП, аванс, накопления"
PersonalPayrollReport,"Персональный отчет сотрудника","report_id; employee_id; period_start; period_end; opening_balance; closing_balance; payable_amount","Персональный отчет","Payroll owner","payroll_sensitive","Должен раскрывать агрегаты до ledger_line_id и payment_id"
WeeklyPayrollSummary,"Недельная ведомость начислений","summary_id; week_start; week_end; location_id; salary; percent; bonus; tax; penalties; total","Понедельные начисления","Payroll owner","sensitive_internal","Сейчас зашиты Производство Черникова и дата 2026-03-03"
AdminPayrollProfile,"Профиль административной зарплаты","admin_profile_id; employee_id; admin_role; fixed_salary; active_from; active_to","Зарплата Администрации","Payroll/admin owner","high_personal","Отдельный контур от сменных категорий"
AdminPayrollEvent,"Начисление или выплата администрации","admin_event_id; admin_profile_id; date; event_type; amount; payment_or_accrual; comment","Зарплата Администрации","Payroll/admin owner","payroll_sensitive","Связь с Выгрузка/Выплаты требует подтверждения"
PayrollPnlMapping,"Маппинг payroll-строк в P&L","mapping_id; line_type; pnl_row; location_or_direction; include_in_fot; source_priority","ОПиУ Из Отчетов; pnl-build-methodology.md","Finance owner","internal","P&L берет начисления, cash-flow берет выплаты"
ImportBatch,"Пачка импорта из Google Sheets или внешних источников","import_batch_id; source_name; source_range; imported_at; imported_by; checksum; status","все листы Google Sheets","Data owner","system","Нужен для миграции и сверки"
AuditLog,"Журнал изменений правил, событий и расчетов","audit_id; entity_type; entity_id; action; actor_id; changed_at; old_value; new_value","не формализовано","System owner","system","Обязателен для payroll и ручных корректировок"
