month,pnl_line,dds_article_source,value,source_type,status,notes
2026-02,Налоги с ЗП,dds_by_article_2026: tbank / Налоги с З/п,22383.93,bank_tbank_classified_cash_control,final,"Cash/control aggregate only, not P&L accrual. Split payroll taxes vs other taxes/tax payable via WorkMail askad02 where needed; bank/DDS cash does not replace accrual source."
2026-02,Накопительный фонд,"Зарплатная ведомость -> Свод, строка 13",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-02,Зарплата администрации,"Зарплатная ведомость -> Свод, строка 11",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-02,РКО,dds_by_article_2026: РКО,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-02,Прочие банковские комиссии,dds_by_article_2026: sber / Прочие банковские комиссии,18459.00,bank_sber_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=1.
2026-02,Прочие банковские комиссии,dds_by_article_2026: tbank / Прочие банковские комиссии,4919.40,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=6.
2026-02,Услуги ФД и НК,counterparty override: ИП Наумченко -> Услуги ФД и НК,0.00,bank_tbank_classified,final,Контрагент Наумченко закреплен в 13-counterparties.md как Услуги ФД и НК; майская сумма взята из classified CSV.
2026-02,Расходы на персонал,dds_by_article_2026: tbank / Расходы на персонал,1023999.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=payroll_payment; operations=4.
2026-02,Телекоммуникации,fixed_contract: iHC.ru 600 + Микроэл 3230,3830.00,fixed_contract,final,Добавлены константы по заданию: iHC.ru 600 руб./мес и Микроэл 3230 руб./мес. Банковские платежи Микроэл используются только как сверка.
2026-02,Телекоммуникации,Mango Office product expenses,,mango_pending,pending,Mango заблокирован для автосбора; сумма телефонии за месяц не включена.
2026-02,Поиск и найм персонала,classified merchant: Avito -> Поиск и найм персонала,4900.00,bank_tbank_classified,final,Merchant TBank-Avito / YM*avito уточнен через 13-counterparties.md; исходная строка была бизнес-картой с требованием разметки.
2026-03,Аренда торговой точки Черникова,fixed_contract: договор аренды Черникова,100000.00,fixed_contract,final,"Константа по методологии: 100000 руб. в месяц, не из банка."
2026-03,Аренда склада,fixed_contract: договор склада,5000.00,fixed_contract,final,"Константа по методологии: 5000 руб. в месяц, не из банка."
2026-03,Коммунальные платежи Черникова,платежки арендодателя / банк для сверки,,mixed,partial,"Нужны платежки арендодателя по воде, газу и электричеству. В classified есть смешанные переводы с упоминанием воды/электричества, но без надежной разбивки они не включены."
2026-03,Зарплата администраторов,"Зарплатная ведомость -> Свод, строка 10",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-03,Премии,"Зарплатная ведомость -> Свод, строка 12",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-03,Списание продукции и сырья,iiko: списания продукции и сырья,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-03,Результаты ревизии,iiko / листы ревизии,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-03,Траты на курьерскую службу,iiko P&L preset: курьерская служба,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-03,Комиссия за эквайринг,dds_by_article_2026: tbank / Эквайринг,4044.89,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=13.
2026-03,Транспортные услуги,dds_by_article_2026: Транспортные услуги,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-03,Расходы на питание персонала,dds_by_article_2026: Расходы на питание персонала,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-03,Оплата систем автоматизации,"classified: Оплаты систем автоматизации, excluding Наумченко correction",36270.00,bank_tbank_classified,final,Сумма из T-Bank classified; платеж ИП Наумченко 9000 руб. перенесен в Услуги ФД и НК по справочнику контрагентов.
2026-03,Содержание торговых точек,mixed: ДДС статья Содержание торговых точек + iiko накладные,0.00,mixed,partial,Учтен только ДДС-компонент из локального агрегата. iiko-компонент расходников по накладным не собран в рамках задания.
2026-03,Вспомогательные товары,iiko: приходные накладные / вспомогательные товары,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-03,Налоги с ЗП,dds_by_article_2026: tbank / Налоги с З/п,20060.93,bank_tbank_classified_cash_control,final,"Cash/control aggregate only, not P&L accrual. Split payroll taxes vs other taxes/tax payable via WorkMail askad02 where needed; bank/DDS cash does not replace accrual source."
2026-03,Накопительный фонд,"Зарплатная ведомость -> Свод, строка 13",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-03,Зарплата администрации,"Зарплатная ведомость -> Свод, строка 11",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-03,РКО,dds_by_article_2026: РКО,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-03,Прочие банковские комиссии,dds_by_article_2026: sber / Прочие банковские комиссии,20159.00,bank_sber_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=2.
2026-03,Прочие банковские комиссии,dds_by_article_2026: tbank / Прочие банковские комиссии,4469.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=5.
2026-03,Услуги ФД и НК,counterparty override: ИП Наумченко -> Услуги ФД и НК,0.00,bank_tbank_classified,final,Контрагент Наумченко закреплен в 13-counterparties.md как Услуги ФД и НК; майская сумма взята из classified CSV.
2026-03,Расходы на персонал,dds_by_article_2026: tbank / Расходы на персонал,1246703.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=payroll_payment; operations=8.
2026-03,Телекоммуникации,fixed_contract: iHC.ru 600 + Микроэл 3230,3830.00,fixed_contract,final,Добавлены константы по заданию: iHC.ru 600 руб./мес и Микроэл 3230 руб./мес. Банковские платежи Микроэл используются только как сверка.
2026-03,Телекоммуникации,Mango Office product expenses,,mango_pending,pending,Mango заблокирован для автосбора; сумма телефонии за месяц не включена.
2026-03,Поиск и найм персонала,classified merchant: Avito -> Поиск и найм персонала,4000.00,bank_tbank_classified,final,Merchant TBank-Avito / YM*avito уточнен через 13-counterparties.md; исходная строка была бизнес-картой с требованием разметки.
2026-04,Аренда торговой точки Черникова,fixed_contract: договор аренды Черникова,100000.00,fixed_contract,final,"Константа по методологии: 100000 руб. в месяц, не из банка."
2026-04,Аренда склада,fixed_contract: договор склада,5000.00,fixed_contract,final,"Константа по методологии: 5000 руб. в месяц, не из банка."
2026-04,Коммунальные платежи Черникова,платежки арендодателя / банк для сверки,,mixed,partial,"Нужны платежки арендодателя по воде, газу и электричеству. В classified есть смешанные переводы с упоминанием воды/электричества, но без надежной разбивки они не включены."
2026-04,Зарплата администраторов,"Зарплатная ведомость -> Свод, строка 10",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-04,Премии,"Зарплатная ведомость -> Свод, строка 12",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-04,Списание продукции и сырья,iiko: списания продукции и сырья,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-04,Результаты ревизии,iiko / листы ревизии,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-04,Траты на курьерскую службу,iiko P&L preset: курьерская служба,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-04,Комиссия за эквайринг,dds_by_article_2026: sber / Эквайринг,1863.00,bank_sber_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=1.
2026-04,Комиссия за эквайринг,dds_by_article_2026: tbank / Эквайринг,2427.83,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=8.
2026-04,Транспортные услуги,dds_by_article_2026: Транспортные услуги,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-04,Расходы на питание персонала,dds_by_article_2026: Расходы на питание персонала,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-04,Оплата систем автоматизации,"classified: Оплаты систем автоматизации, excluding Наумченко correction",36270.00,bank_tbank_classified,final,Сумма из T-Bank classified; платеж ИП Наумченко 9000 руб. перенесен в Услуги ФД и НК по справочнику контрагентов.
2026-04,Содержание торговых точек,mixed: ДДС статья Содержание торговых точек + iiko накладные,0.00,mixed,partial,Учтен только ДДС-компонент из локального агрегата. iiko-компонент расходников по накладным не собран в рамках задания.
2026-04,Вспомогательные товары,iiko: приходные накладные / вспомогательные товары,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-04,Налоги с ЗП,dds_by_article_2026: tbank / Налоги с З/п,695783.93,bank_tbank_classified_cash_control,pending_split,"Cash/control aggregate only, not P&L accrual. 2026-04 tax_payment total 695783.93 contains mixed tax cash operations; owner correction: cash 659 783 = USN 6% only, not 7% and not payroll taxes. Split payroll taxes / USN / 1% / tax payable via WorkMail askad02 pending_parse; do not feed this row to P&L as final."
2026-04,Накопительный фонд,"Зарплатная ведомость -> Свод, строка 13",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-04,Зарплата администрации,"Зарплатная ведомость -> Свод, строка 11",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-04,РКО,dds_by_article_2026: РКО,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-04,Прочие банковские комиссии,dds_by_article_2026: sber / Прочие банковские комиссии,20159.00,bank_sber_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=2.
2026-04,Прочие банковские комиссии,dds_by_article_2026: tbank / Прочие банковские комиссии,4779.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=4.
2026-04,Услуги ФД и НК,counterparty override: ИП Наумченко -> Услуги ФД и НК,0.00,bank_tbank_classified,final,Контрагент Наумченко закреплен в 13-counterparties.md как Услуги ФД и НК; майская сумма взята из classified CSV.
2026-04,Расходы на персонал,dds_by_article_2026: tbank / Расходы на персонал,621234.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=payroll_payment; operations=6.
2026-04,Телекоммуникации,fixed_contract: iHC.ru 600 + Микроэл 3230,3830.00,fixed_contract,final,Добавлены константы по заданию: iHC.ru 600 руб./мес и Микроэл 3230 руб./мес. Банковские платежи Микроэл используются только как сверка.
2026-04,Телекоммуникации,Mango Office product expenses,,mango_pending,pending,Mango заблокирован для автосбора; сумма телефонии за месяц не включена.
2026-04,Поиск и найм персонала,classified merchant: Avito -> Поиск и найм персонала,2000.00,bank_tbank_classified,final,Merchant TBank-Avito / YM*avito уточнен через 13-counterparties.md; исходная строка была бизнес-картой с требованием разметки.
2026-05,Аренда торговой точки Черникова,fixed_contract: договор аренды Черникова,100000.00,fixed_contract,final,"Константа по методологии: 100000 руб. в месяц, не из банка."
2026-05,Аренда склада,fixed_contract: договор склада,5000.00,fixed_contract,final,"Константа по методологии: 5000 руб. в месяц, не из банка."
2026-05,Коммунальные платежи Черникова,платежки арендодателя / банк для сверки,,mixed,partial,"Нужны платежки арендодателя по воде, газу и электричеству. В classified есть смешанные переводы с упоминанием воды/электричества, но без надежной разбивки они не включены."
2026-05,Зарплата администраторов,"Зарплатная ведомость -> Свод, строка 10",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-05,Премии,"Зарплатная ведомость -> Свод, строка 12",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-05,Списание продукции и сырья,iiko: списания продукции и сырья,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-05,Результаты ревизии,iiko / листы ревизии,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-05,Траты на курьерскую службу,iiko P&L preset: курьерская служба,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-05,Комиссия за эквайринг,dds_by_article_2026: tbank / Эквайринг,680.37,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=7.
2026-05,Транспортные услуги,dds_by_article_2026: Транспортные услуги,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-05,Расходы на питание персонала,dds_by_article_2026: Расходы на питание персонала,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-05,Оплата систем автоматизации,"classified: Оплаты систем автоматизации, excluding Наумченко correction",0.00,bank_tbank_classified,final,Сумма из T-Bank classified; платеж ИП Наумченко 9000 руб. перенесен в Услуги ФД и НК по справочнику контрагентов.
2026-05,Содержание торговых точек,mixed: ДДС статья Содержание торговых точек + iiko накладные,0.00,mixed,partial,Учтен только ДДС-компонент из локального агрегата. iiko-компонент расходников по накладным не собран в рамках задания.
2026-05,Вспомогательные товары,iiko: приходные накладные / вспомогательные товары,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-05,Налоги с ЗП,dds_by_article_2026: tbank / Налоги с З/п,500.00,bank_tbank_classified_cash_control,final,"Cash/control aggregate only, not P&L accrual. Split payroll taxes vs other taxes/tax payable via WorkMail askad02 where needed; bank/DDS cash does not replace accrual source."
2026-05,Накопительный фонд,"Зарплатная ведомость -> Свод, строка 13",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-05,Зарплата администрации,"Зарплатная ведомость -> Свод, строка 11",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-05,РКО,dds_by_article_2026: РКО,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-05,Прочие банковские комиссии,dds_by_article_2026: sber / Прочие банковские комиссии,18459.00,bank_sber_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=1.
2026-05,Прочие банковские комиссии,dds_by_article_2026: tbank / Прочие банковские комиссии,760.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=4.
2026-05,Услуги ФД и НК,counterparty override: ИП Наумченко -> Услуги ФД и НК,9000.00,bank_tbank_classified,final,Контрагент Наумченко закреплен в 13-counterparties.md как Услуги ФД и НК; майская сумма взята из classified CSV.
2026-05,Расходы на персонал,dds_by_article_2026: tbank / Расходы на персонал,471709.00,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=payroll_payment; operations=3.
2026-05,Телекоммуникации,fixed_contract: iHC.ru 600 + Микроэл 3230,3830.00,fixed_contract,final,Добавлены константы по заданию: iHC.ru 600 руб./мес и Микроэл 3230 руб./мес. Банковские платежи Микроэл используются только как сверка.
2026-05,Телекоммуникации,Mango Office product expenses,,mango_pending,pending,Mango заблокирован для автосбора; сумма телефонии за месяц не включена.
2026-05,Поиск и найм персонала,classified merchant: Avito -> Поиск и найм персонала,1500.00,bank_tbank_classified,final,Merchant TBank-Avito / YM*avito уточнен через 13-counterparties.md; исходная строка была бизнес-картой с требованием разметки.
